scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,chelator,dose_mg_L,texture,texture_sites,moisture,pe,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol
54,5.0,Low,25,20,30,Citrate,200,Clay,1.5,Mesic,8,0.00012066,4.744e-06,3.931708934195259,0.0005667,0.00031471,6.004e-06,1.9077881223983986,0.001431,0.00045886,0.0001386,30.20529137427538,8.491e-05
55,5.0,Low,25,20,30,DTPA,50,Clay,1.5,Mesic,8,0.00012066,0.000107,88.67893253770927,0.01051,0.00031471,0.0001866,59.29268215182232,0.03657,0.00045886,0.0004549,99.13699167502071,0.0002292
56,5.0,Low,25,20,30,DTPA,200,Clay,1.5,Mesic,8,0.00012066,6.444e-05,53.40626553953257,0.007214,0.00031471,1.051e-06,0.3339582472752693,0.0002348,0.00045886,0.00031,67.55873251100553,0.000178
57,5.0,Low,25,20,30,None,0,Clay,1.5,Wet,3,0.00012066,0.0001077,89.25907508702139,0.01153,0.00031471,7.834e-05,24.89275841250675,0.01674,0.00045886,0.0004556,99.28954365165846,0.0002502
58,5.0,Low,25,20,30,EDTA,50,Clay,1.5,Wet,3,0.00012066,7.201e-05,59.680092822807886,0.007976,0.00031471,4.546e-05,14.445044644275685,0.01005,0.00045886,0.0004516,98.4178180708713,0.0002565
59,5.0,Low,25,20,30,EDTA,200,Clay,1.5,Wet,3,0.00012066,1.518e-06,1.2580805569368474,0.0001782,0.00031471,7.842e-07,0.249181786406533,0.0001836,0.00045886,0.0002033,44.30545264350783,0.0001223
60,5.0,Low,25,20,30,Citrate,50,Clay,1.5,Wet,3,0.00012066,4.854e-05,40.22874191944306,0.005462,0.00031471,4.519e-05,14.359251374281085,0.01015,0.00045886,0.0004038,88.00069738046463,0.000233
61,5.0,Low,25,20,30,Citrate,200,Clay,1.5,Wet,3,0.00012066,4.547e-06,3.7684402453174206,0.0005438,0.00031471,5.427e-06,1.7244447268914238,0.001295,0.00045886,0.0001343,29.268186374929172,8.241e-05
62,5.0,Low,25,20,30,DTPA,50,Clay,1.5,Wet,3,0.00012066,0.0001069,88.59605503066467,0.01162,0.00031471,4.645e-05,14.759619967589208,0.01007,0.00045886,0.0004536,98.85368086126488,0.0002528
63,5.0,Low,25,20,30,DTPA,200,Clay,1.5,Wet,3,0.00012066,6.38e-05,52.875849494447216,0.007145,0.00031471,1.015e-06,0.3225191446093229,0.0002269,0.00045886,0.0003076,67.03569716253324,0.0001766
