scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,cd_mg_L,doc_mg_L,ca_mg_L,mg_mg_L,na_mg_L,cl_mg_L,chelator,dose_mg_L,texture,hfo_sites,moisture,pe,ca_mg_level,ionic_level,pb_percent_free,cu_percent_free,zn_percent_free,cd_percent_free,pb_sorbed_mol,cu_sorbed_mol,zn_sorbed_mol,cd_sorbed_mol
baseline_00039,5.5,Low,25,20,30,2,40,20,10,500,700,None,0,Clay,1.5,Dry,12,Low,Medium,61.36433707619322,94.46113939261456,96.60985071783973,46.98218566366061,0.02605,0.2087,0.0008,1.856e-06
baseline_00040,5.5,Low,25,20,30,2,40,100,50,500,700,None,0,Clay,1.5,Dry,12,High,Medium,62.64068876578449,94.77886942757121,96.82778406031174,48.421046715209485,0.02575,0.2028,0.0007764,1.852e-06
baseline_00041,5.5,Low,25,20,30,2,40,20,10,2000,3000,None,0,Clay,1.5,Dry,12,Low,High,36.5500711110227,92.55475918287459,91.57559050673643,19.284110421344604,0.01352,0.1783,0.000661,6.64e-07
baseline_00042,5.5,Low,25,20,30,2,40,100,50,2000,3000,None,0,Clay,1.5,Dry,12,High,High,36.94789501427193,92.71362420035292,91.77173051496122,19.559517419492632,0.0135,0.1763,0.0006538,6.649e-07
baseline_00043,5.5,Low,25,20,30,2,40,20,10,100,150,None,0,Clay,1.5,Mesic,8,Low,Low,74.05326199024668,94.6835504170842,98.33152412336858,77.90083661901375,0.03415,0.2273,0.0008844,3.342e-06
baseline_00044,5.5,Low,25,20,30,2,40,100,50,100,150,None,0,Clay,1.5,Mesic,8,High,Low,75.86004555083692,95.22369147651054,98.50587079734618,79.75561844327599,0.03311,0.2163,0.0008385,3.238e-06
baseline_00045,5.5,Low,25,20,30,2,40,20,10,500,700,None,0,Clay,1.5,Mesic,8,Low,Medium,61.36433707619322,94.4293663891189,96.60985071783973,46.98218566366061,0.02606,0.2087,0.0008001,1.856e-06
baseline_00046,5.5,Low,25,20,30,2,40,100,50,500,700,None,0,Clay,1.5,Mesic,8,High,Medium,62.64068876578449,94.74709642407554,96.82778406031174,48.421046715209485,0.02576,0.2028,0.0007765,1.853e-06
baseline_00047,5.5,Low,25,20,30,2,40,20,10,2000,3000,None,0,Clay,1.5,Mesic,8,Low,High,36.5500711110227,92.30057515490928,91.57559050673643,19.284110421344604,0.01354,0.178,0.0006618,6.649e-07
baseline_00048,5.5,Low,25,20,30,2,40,100,50,2000,3000,None,0,Clay,1.5,Mesic,8,High,High,36.94789501427193,92.4594401723876,91.77173051496122,19.559517419492632,0.01352,0.176,0.0006546,6.657e-07
