scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,cd_mg_L,doc_mg_L,ca_mg_L,mg_mg_L,na_mg_L,cl_mg_L,chelator,dose_mg_L,texture,hfo_sites,moisture,pe,ca_mg_level,ionic_level,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol,cd_total_mol,cd_free_mol,cd_percent_free,cd_sorbed_mol
29,5.5,Low,25,20,30,2,10,20,10,100,150,Fulvic,150,Sand,0.1,Wet,3,Low,Low,0.00012066,0.0001078,89.34195259406597,0.004567,0.00031471,7.521e-05,23.89819198627308,0.006358,0.00045886,0.0004555,99.26775051213878,9.897e-05,1.7792e-05,1.405e-05,78.96807553956835,3.756e-07
30,5.5,Low,25,20,30,2,10,20,10,100,150,Fulvic,300,Sand,0.1,Wet,3,Low,Low,0.00012066,0.0001067,88.4303000165755,0.00453,0.00031471,7.518e-05,23.88865940071812,0.006366,0.00045886,0.0004553,99.22416423309942,9.91e-05,1.7792e-05,1.405e-05,78.96807553956835,3.762e-07
31,5.5,Low,25,20,30,2,10,20,10,500,700,EDTA,50,Sand,0.1,Mesic,8,Low,Medium,0.00012066,7.419e-05,61.48682247637992,0.002307,0.00031471,0.000156,49.56944488576785,0.009683,0.00045886,0.0004455,97.08843656017083,7.106e-05,1.7792e-05,8.334e-06,46.84127697841728,1.635e-07
32,5.5,Low,25,20,30,2,10,20,10,500,700,EDTA,150,Sand,0.1,Mesic,8,Low,Medium,0.00012066,7.074e-06,5.862754848334163,0.0004384,0.00031471,3.955e-06,1.2567125289949477,0.000489,0.00045886,0.0003599,78.43350913132547,0.0001144,1.7792e-05,7.049e-06,39.61892985611511,2.756e-07
33,5.5,Low,25,20,30,2,10,20,10,500,700,EDTA,300,Sand,0.1,Mesic,8,Low,Medium,0.00012066,1.738e-11,1.440411072434941e-05,1.138e-09,0.00031471,9.019e-12,2.8658129706714117e-06,1.179e-09,0.00045886,4.163e-09,0.0009072483982042,1.399e-09,1.7792e-05,1.02e-10,0.0005732913669064,4.214e-12
34,5.5,Low,25,20,30,2,10,20,10,500,700,NTA,50,Sand,0.1,Mesic,8,Low,Medium,0.00012066,8.001e-05,66.31029338637494,0.003207,0.00031471,6.396e-05,20.323472403164818,0.005115,0.00045886,0.0004408,96.06415900274592,9.061e-05,1.7792e-05,8.331e-06,46.824415467625904,2.107e-07
35,5.5,Low,25,20,30,2,10,20,10,500,700,NTA,150,Sand,0.1,Mesic,8,Low,Medium,0.00012066,5.755e-06,4.769600530416045,0.0003725,0.00031471,3.214e-07,0.102125766578755,4.151e-05,0.00045886,0.000102,22.229002310072783,3.387e-05,1.7792e-05,6.84e-06,38.444244604316545,2.793e-07
36,5.5,Low,25,20,30,2,10,20,10,500,700,NTA,300,Sand,0.1,Mesic,8,Low,Medium,0.00012066,7.613e-09,0.0063094646113044,4.999e-07,0.00031471,3.964e-10,0.0001259572304661,5.193e-08,0.00045886,1.629e-07,0.0355010242775574,5.487e-08,1.7792e-05,4.763e-08,0.2677045863309352,1.974e-09
37,5.5,Low,25,20,30,2,10,20,10,500,700,Citrate,50,Sand,0.1,Mesic,8,Low,Medium,0.00012066,5.52e-05,45.74838388861263,0.001926,0.00031471,0.0001218,38.702297353118745,0.008475,0.00045886,0.0004192,91.35684086649522,7.501e-05,1.7792e-05,8.32e-06,46.76258992805756,1.831e-07
38,5.5,Low,25,20,30,2,10,20,10,500,700,Citrate,150,Sand,0.1,Mesic,8,Low,Medium,0.00012066,6.298e-06,5.219625393668158,0.0003858,0.00031471,8.219e-06,2.6116106892059356,0.001005,0.00045886,0.0001757,38.29054613607636,5.52e-05,1.7792e-05,7.942e-06,44.63803956834532,3.07e-07
39,5.5,Low,25,20,30,2,10,20,10,500,700,Citrate,300,Sand,0.1,Mesic,8,Low,Medium,0.00012066,6.719e-07,0.5568539698325875,4.414e-05,0.00031471,8.34e-07,0.2650058784277589,0.0001093,0.00045886,2.7e-05,5.884147670313386,9.096e-06,1.7792e-05,5.686e-06,31.958183453237417,2.357e-07
40,5.5,Low,25,20,30,2,10,20,10,500,700,Humic,50,Sand,0.1,Mesic,8,Low,Medium,0.00012066,8.428e-05,69.84916293717885,0.001938,0.00031471,0.0003071,97.58190079755964,0.01409,0.00045886,0.0004468,97.37174737392668,5.269e-05,1.7792e-05,8.355e-06,46.95930755395684,1.212e-07
41,5.5,Low,25,20,30,2,10,20,10,500,700,Humic,150,Sand,0.1,Mesic,8,Low,Medium,0.00012066,8.392e-05,69.55080391181832,0.001931,0.00031471,0.0003068,97.4865749420101,0.01409,0.00045886,0.0004466,97.32816109488734,5.272e-05,1.7792e-05,8.355e-06,46.95930755395684,1.213e-07
42,5.5,Low,25,20,30,2,10,20,10,500,700,Humic,300,Sand,0.1,Mesic,8,Low,Medium,0.00012066,8.338e-05,69.10326537377756,0.001921,0.00031471,0.0003063,97.3276985160942,0.01408,0.00045886,0.0004465,97.30636795536766,5.276e-05,1.7792e-05,8.355e-06,46.95930755395684,1.215e-07
43,5.5,Low,25,20,30,2,10,20,10,500,700,Fulvic,50,Sand,0.1,Mesic,8,Low,Medium,0.00012066,8.428e-05,69.84916293717885,0.001938,0.00031471,0.0003071,97.58190079755964,0.01409,0.00045886,0.0004468,97.37174737392668,5.269e-05,1.7792e-05,8.355e-06,46.95930755395684,1.212e-07
44,5.5,Low,25,20,30,2,10,20,10,500,700,Fulvic,150,Sand,0.1,Mesic,8,Low,Medium,0.00012066,8.392e-05,69.55080391181832,0.001931,0.00031471,0.0003068,97.4865749420101,0.01409,0.00045886,0.0004466,97.32816109488734,5.272e-05,1.7792e-05,8.355e-06,46.95930755395684,1.213e-07
45,5.5,Low,25,20,30,2,10,20,10,500,700,Fulvic,300,Sand,0.1,Mesic,8,Low,Medium,0.00012066,8.338e-05,69.10326537377756,0.001921,0.00031471,0.0003063,97.3276985160942,0.01408,0.00045886,0.0004465,97.30636795536766,5.276e-05,1.7792e-05,8.355e-06,46.95930755395684,1.215e-07
46,5.5,Low,25,20,30,2,10,20,10,500,700,EDTA,50,Sand,0.1,Wet,3,Low,Medium,0.00012066,3.377e-05,27.9877341289574,0.001899,0.00031471,7.699e-06,2.446379206253376,0.000864,0.00045886,0.0004326,94.27712156213224,0.0001248,1.7792e-05,8.214e-06,46.16681654676259,2.915e-07
47,5.5,Low,25,20,30,2,10,20,10,500,700,EDTA,150,Sand,0.1,Wet,3,Low,Medium,0.00012066,4.174e-06,3.459307144041107,0.0002652,0.00031471,1.863e-06,0.5919735629627276,0.0002362,0.00045886,0.0003136,68.34328553371398,0.0001022,1.7792e-05,6.315e-06,35.49348021582734,2.531e-07
48,5.5,Low,25,20,30,2,10,20,10,500,700,EDTA,300,Sand,0.1,Wet,3,Low,Medium,0.00012066,1.738e-11,1.440411072434941e-05,1.138e-09,0.00031471,9.019e-12,2.8658129706714117e-06,1.179e-09,0.00045886,4.163e-09,0.0009072483982042,1.399e-09,1.7792e-05,1.02e-10,0.0005732913669064,4.213e-12
49,5.5,Low,25,20,30,2,10,20,10,500,700,NTA,50,Sand,0.1,Wet,3,Low,Medium,0.00012066,5.627e-05,46.63517321398973,0.003034,0.00031471,4.733e-06,1.5039242477201231,0.0005093,0.00045886,0.0003975,86.62772959072484,0.0001099,1.7792e-05,8.316e-06,46.740107913669064,2.83e-07
