scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,chelator,dose_mg_L,texture,texture_sites,moisture,pe,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol
54,5.0,Low,25,20,30,Citrate,10,Clay,1.5,Mesic,8,0.00012066,0.0001005,83.29189457981104,0.009441,0.00031471,0.0002711,86.14279813161322,0.05083,0.00045886,0.0004522,98.54857690798936,0.000218
55,5.0,Low,25,20,30,Citrate,50,Clay,1.5,Mesic,8,0.00012066,6.708e-05,55.5942317255097,0.007004,0.00031471,0.0001308,41.56207301960536,0.02724,0.00045886,0.0004283,93.34001656278603,0.0002294
56,5.0,Low,25,20,30,Citrate,150,Clay,1.5,Mesic,8,0.00012066,9.934e-06,8.233051549809382,0.001172,0.00031471,1.296e-05,4.118076959740714,0.00305,0.00045886,0.0002237,48.75125310552238,0.0001353
57,5.0,Low,25,20,30,None,0,Clay,1.5,Wet,3,0.00012066,0.0001077,89.25907508702139,0.01153,0.00031471,7.834e-05,24.89275841250675,0.01674,0.00045886,0.0004556,99.28954365165846,0.0002502
58,5.0,Low,25,20,30,EDTA,10,Clay,1.5,Wet,3,0.00012066,0.0001011,83.78915962207857,0.0109,0.00031471,7.141e-05,22.690731149312064,0.01536,0.00045886,0.000455,99.15878481454038,0.0002516
59,5.0,Low,25,20,30,EDTA,50,Clay,1.5,Wet,3,0.00012066,7.201e-05,59.680092822807886,0.007976,0.00031471,4.546e-05,14.445044644275685,0.01005,0.00045886,0.0004516,98.4178180708713,0.0002565
60,5.0,Low,25,20,30,EDTA,150,Clay,1.5,Wet,3,0.00012066,6.47e-06,5.362174705784851,0.0007561,0.00031471,3.382e-06,1.0746401448953005,0.0007886,0.00045886,0.0003565,77.69254238765636,0.0002137
61,5.0,Low,25,20,30,Citrate,10,Clay,1.5,Wet,3,0.00012066,9.278e-05,76.89375103596883,0.01005,0.00031471,7.137e-05,22.678021035238793,0.01542,0.00045886,0.000448,97.63326504816283,0.0002488
62,5.0,Low,25,20,30,Citrate,50,Clay,1.5,Wet,3,0.00012066,4.854e-05,40.22874191944306,0.005462,0.00031471,4.519e-05,14.359251374281085,0.01015,0.00045886,0.0004038,88.00069738046463,0.000233
63,5.0,Low,25,20,30,Citrate,150,Clay,1.5,Wet,3,0.00012066,8.941e-06,7.410077904856621,0.001059,0.00031471,1.037e-05,3.295097073496235,0.00245,0.00045886,0.0002106,45.8963518284444,0.0001279
64,5.0,Medium,100,80,120,None,0,Sand,0.1,Dry,12,0.00048263,0.0004323,89.57172160868573,0.001614,0.0012589,0.001248,99.13416474700134,0.0093,0.0018354,0.001823,99.32439795140023,3.491e-05
65,5.0,Medium,100,80,120,EDTA,10,Sand,0.1,Dry,12,0.00048263,0.0004303,89.15732548743344,0.001622,0.0012589,0.001217,96.67169751370243,0.009152,0.0018354,0.001823,99.32439795140023,3.525e-05
66,5.0,Medium,100,80,120,EDTA,50,Sand,0.1,Dry,12,0.00048263,0.0004215,87.33398255392329,0.001653,0.0012589,0.001092,86.74239415362618,0.008543,0.0018354,0.001822,99.26991391522284,3.666e-05
67,5.0,Medium,100,80,120,EDTA,150,Sand,0.1,Dry,12,0.00048263,0.0003914,81.0973209290761,0.00171,0.0012589,0.0007881,62.60227182460878,0.00687,0.0018354,0.00182,99.16094584286805,4.078e-05
68,5.0,Medium,100,80,120,Citrate,10,Sand,0.1,Dry,12,0.00048263,0.0004257,88.20421440855314,0.001612,0.0012589,0.001206,95.79791881801573,0.009114,0.0018354,0.00182,99.16094584286805,3.535e-05
69,5.0,Medium,100,80,120,Citrate,50,Sand,0.1,Dry,12,0.00048263,0.0003979,82.44410832314611,0.001597,0.0012589,0.001042,82.77067280959567,0.00834,0.0018354,0.001807,98.45265337256184,3.719e-05
70,5.0,Medium,100,80,120,Citrate,150,Sand,0.1,Dry,12,0.00048263,0.0003165,65.57818618817728,0.001487,0.0012589,0.0006624,52.61736436571609,0.00621,0.0018354,0.001756,95.67396752751444,4.232e-05
71,5.0,Medium,100,80,120,None,0,Sand,0.1,Mesic,8,0.00048263,0.0004323,89.57172160868573,0.001614,0.0012589,0.001248,99.13416474700134,0.0093,0.0018354,0.001823,99.32439795140023,3.491e-05
72,5.0,Medium,100,80,120,EDTA,10,Sand,0.1,Mesic,8,0.00048263,0.0004303,89.15732548743344,0.001622,0.0012589,0.001217,96.67169751370243,0.009152,0.0018354,0.001823,99.32439795140023,3.525e-05
73,5.0,Medium,100,80,120,EDTA,50,Sand,0.1,Mesic,8,0.00048263,0.0004215,87.33398255392329,0.001653,0.0012589,0.001091,86.66295972674556,0.008543,0.0018354,0.001822,99.26991391522284,3.666e-05
74,5.0,Medium,100,80,120,EDTA,150,Sand,0.1,Mesic,8,0.00048263,0.0003914,81.0973209290761,0.00171,0.0012589,0.0007881,62.60227182460878,0.00687,0.0018354,0.00182,99.16094584286805,4.078e-05
75,5.0,Medium,100,80,120,Citrate,10,Sand,0.1,Mesic,8,0.00048263,0.0004257,88.20421440855314,0.001612,0.0012589,0.001206,95.79791881801573,0.009114,0.0018354,0.00182,99.16094584286805,3.535e-05
76,5.0,Medium,100,80,120,Citrate,50,Sand,0.1,Mesic,8,0.00048263,0.0003979,82.44410832314611,0.001597,0.0012589,0.001042,82.77067280959567,0.008339,0.0018354,0.001807,98.45265337256184,3.719e-05
77,5.0,Medium,100,80,120,Citrate,150,Sand,0.1,Mesic,8,0.00048263,0.0003164,65.55746638211465,0.001487,0.0012589,0.0006623,52.60942092302804,0.00621,0.0018354,0.001756,95.67396752751444,4.232e-05
78,5.0,Medium,100,80,120,None,0,Sand,0.1,Wet,3,0.00048263,0.0004402,91.20858628763236,0.002276,0.0012589,0.0003968,31.51958058622607,0.004094,0.0018354,0.001826,99.48785005993244,4.841e-05
79,5.0,Medium,100,80,120,EDTA,10,Sand,0.1,Wet,3,0.00048263,0.0004344,90.00683753600066,0.002259,0.0012589,0.0003865,30.701405989355784,0.00401,0.0018354,0.001825,99.43336602375504,4.867e-05
80,5.0,Medium,100,80,120,EDTA,50,Sand,0.1,Wet,3,0.00048263,0.0004103,85.01336427491039,0.002183,0.0012589,0.0003464,27.516085471443326,0.003677,0.0018354,0.001823,99.32439795140023,4.974e-05
81,5.0,Medium,100,80,120,EDTA,150,Sand,0.1,Wet,3,0.00048263,0.000342,70.86173673414417,0.001929,0.0012589,0.0002546,20.22400508380332,0.002866,0.0018354,0.001816,98.94300969815843,5.255e-05
82,5.0,Medium,100,80,120,Citrate,10,Sand,0.1,Wet,3,0.00048263,0.0004253,88.12133518430268,0.002219,0.0012589,0.0003854,30.61402811978711,0.004012,0.0018354,0.001819,99.10646180669063,4.868e-05
83,5.0,Medium,100,80,120,Citrate,50,Sand,0.1,Wet,3,0.00048263,0.0003687,76.39392495286245,0.001995,0.0012589,0.0003406,27.055365795535778,0.003677,0.0018354,0.00179,97.52642475754604,4.967e-05
84,5.0,Medium,100,80,120,Citrate,150,Sand,0.1,Wet,3,0.00048263,0.0002472,51.2193605867849,0.001461,0.0012589,0.0002387,18.96099769640162,0.002815,0.0018354,0.00169,92.07802113980604,5.124e-05
85,5.0,Medium,100,80,120,None,0,Loam,0.5,Dry,12,0.00048263,0.0004323,89.57172160868573,0.008034,0.0012589,0.001248,99.13416474700134,0.04629,0.0018354,0.001823,99.32439795140023,0.0001738
86,5.0,Medium,100,80,120,EDTA,10,Loam,0.5,Dry,12,0.00048263,0.0004303,89.15732548743344,0.008074,0.0012589,0.001217,96.67169751370243,0.04556,0.0018354,0.001823,99.32439795140023,0.0001754
87,5.0,Medium,100,80,120,EDTA,50,Loam,0.5,Dry,12,0.00048263,0.0004215,87.33398255392329,0.008229,0.0012589,0.001092,86.74239415362618,0.04252,0.0018354,0.001822,99.26991391522284,0.0001825
88,5.0,Medium,100,80,120,EDTA,150,Loam,0.5,Dry,12,0.00048263,0.0003914,81.0973209290761,0.008513,0.0012589,0.0007881,62.60227182460878,0.0342,0.0018354,0.00182,99.16094584286805,0.000203
89,5.0,Medium,100,80,120,Citrate,10,Loam,0.5,Dry,12,0.00048263,0.0004257,88.20421440855314,0.008023,0.0012589,0.001206,95.79791881801573,0.04537,0.0018354,0.00182,99.16094584286805,0.0001759
